X,Y
927,1703
927,1702
926,1702
926,1701
924,1701
924,1700
923,1700
923,1699
920,1699
920,1698
915,1698
915,1697
914,1697
914,1695
915,1695
915,1696
916,1696
916,1697
923,1697
923,1696
922,1696
922,1694
921,1694
921,1693
920,1693
920,1692
919,1692
919,1691
918,1691
918,1690
917,1690
917,1689
916,1689
916,1688
912,1688
912,1687
911,1687
911,1686
910,1686
910,1685
909,1685
909,1684
907,1684
907,1683
906,1683
906,1682
905,1682
905,1681
904,1681
904,1680
903,1680
903,1678
902,1678
902,1676
901,1676
901,1675
900,1675
900,1673
899,1673
899,1672
895,1672
895,1671
894,1671
894,1670
893,1670
893,1669
892,1669
892,1668
891,1668
891,1666
890,1666
890,1665
889,1665
889,1664
888,1664
888,1663
887,1663
887,1661
885,1661
885,1660
882,1660
882,1659
880,1659
880,1663
881,1663
881,1665
882,1665
882,1667
883,1667
883,1669
884,1669
884,1670
886,1670
886,1671
887,1671
887,1672
888,1672
888,1673
889,1673
889,1674
890,1674
890,1675
891,1675
891,1676
893,1676
893,1677
894,1677
894,1678
892,1678
892,1677
890,1677
890,1676
889,1676
889,1675
888,1675
888,1674
885,1674
885,1676
883,1676
883,1677
882,1677
882,1679
883,1679
883,1682
881,1682
881,1683
878,1683
878,1681
880,1681
880,1679
879,1679
879,1678
878,1678
878,1674
879,1674
879,1669
880,1669
880,1664
879,1664
879,1663
878,1663
878,1662
877,1662
877,1658
876,1658
876,1655
877,1655
877,1657
878,1657
878,1658
881,1658
881,1654
880,1654
880,1648
879,1648
879,1647
880,1647
880,1645
881,1645
881,1644
882,1644
882,1643
883,1643
883,1638
884,1638
884,1634
883,1634
883,1633
884,1633
884,1631
885,1631
885,1625
886,1625
886,1614
887,1614
887,1611
888,1611
888,1602
889,1602
889,1597
890,1597
890,1595
891,1595
891,1594
892,1594
892,1593
893,1593
893,1592
894,1592
894,1588
890,1588
890,1589
889,1589
889,1590
888,1590
888,1589
887,1589
887,1587
886,1587
886,1585
885,1585
885,1580
884,1580
884,1579
885,1579
885,1577
884,1577
884,1576
882,1576
882,1575
881,1575
881,1572
880,1572
880,1575
881,1575
881,1576
880,1576
880,1579
879,1579
879,1581
878,1581
878,1582
877,1582
877,1581
875,1581
875,1580
872,1580
872,1581
870,1581
870,1582
867,1582
867,1581
865,1581
865,1580
863,1580
863,1579
861,1579
861,1578
858,1578
858,1577
856,1577
856,1576
854,1576
854,1575
852,1575
852,1574
849,1574
849,1573
847,1573
847,1572
845,1572
845,1571
843,1571
843,1570
841,1570
