X,Y
1224,1606
1223,1606
1223,1607
1222,1607
1222,1608
1221,1608
1221,1609
1220,1609
1220,1610
1219,1610
1219,1611
1218,1611
1218,1612
1217,1612
1217,1613
1216,1613
1216,1614
1215,1614
1215,1615
1214,1615
1214,1616
1212,1616
1212,1617
1211,1617
1211,1618
1210,1618
1210,1619
1209,1619
1209,1620
1208,1620
1208,1621
1206,1621
1206,1622
1205,1622
1205,1623
1203,1623
1203,1624
1202,1624
1202,1626
1200,1626
1200,1627
1199,1627
1199,1628
1198,1628
1198,1629
1196,1629
1196,1630
1195,1630
1195,1631
1194,1631
1194,1632
1192,1632
1192,1633
1191,1633
1191,1634
1188,1634
1188,1635
1187,1635
1187,1636
1185,1636
1185,1637
1183,1637
1183,1638
1182,1638
